symbol,split,task,horizon_days,model,n_rows,mae,rmse,r2,extra
AAPL,test,return,5,BASELINE_ZERO,264,0.03400457344445266,0.04652421378275278,-0.0018482418175398418,
AAPL,test,return,5,BASELINE_MEAN_TRAIN,264,0.0342635977272942,0.046539799872993656,-0.0025196131921598752,mean=0.00433145
AAPL,test,return,5,ELASTICNET,264,0.03491158547797639,0.04745613422171266,-0.04238600121338343,alpha=1e-3 l1=0.2
AAPL,test,return,5,RIDGE,264,0.03570142036259862,0.04786830696189097,-0.0605715909187694,alpha=5.0
AAPL,test,return,5,HGB,264,0.04022050268305551,0.0521614811339382,-0.25934199095077193,lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,val,return,5,BASELINE_MEAN_TRAIN,502,0.024981251012417726,0.03146223774848127,-0.007099183341966686,mean=0.00433145
AAPL,val,return,5,ELASTICNET,502,0.025350422059392034,0.03184236119115046,-0.03158152432190309,alpha=1e-3 l1=0.2
AAPL,val,return,5,RIDGE,502,0.02512445958877912,0.031867623865430704,-0.03321901883166878,alpha=5.0
AAPL,val,return,5,BASELINE_ZERO,502,0.025590503263898307,0.032117242337115846,-0.04946878113809139,
AAPL,val,return,5,HGB,502,0.036454117153222776,0.04445564142138007,-1.0106977330393647,lr=0.03 depth=3 l2=1.0 leaf=30
TSLA,test,return,5,BASELINE_MEAN_TRAIN,264,0.06141756358966865,0.08071131281804493,-0.002679397669030914,mean=0.00895025
TSLA,test,return,5,BASELINE_ZERO,264,0.06113367780244008,0.08074489044216691,-0.003513843150623863,
TSLA,test,return,5,ELASTICNET,264,0.06074234360731919,0.08088066326664352,-0.00689150483288703,alpha=1e-3 l1=0.2
TSLA,test,return,5,RIDGE,264,0.06062470056828114,0.08121874356443357,-0.015326688755815665,alpha=5.0
TSLA,test,return,5,HGB,264,0.07683586143713225,0.09838829431860291,-0.4899789464413016,lr=0.03 depth=3 l2=1.0 leaf=30
TSLA,val,return,5,BASELINE_MEAN_TRAIN,502,0.0659741880265001,0.08779574136795407,-0.006970334745221907,mean=0.00895025
TSLA,val,return,5,ELASTICNET,502,0.06557795845817276,0.0881341776535677,-0.01474866535223951,alpha=1e-3 l1=0.2
TSLA,val,return,5,RIDGE,502,0.06600744056457163,0.08830329094542416,-0.018646633958629977,alpha=5.0
TSLA,val,return,5,BASELINE_ZERO,502,0.06626143832557438,0.08898850347743617,-0.03451688177800882,
TSLA,val,return,5,HGB,502,0.0800469348485546,0.1077909704187566,-0.5178698661581778,lr=0.03 depth=3 l2=1.0 leaf=30
^GSPC,test,return,5,BASELINE_MEAN_TRAIN,264,0.016096407519392793,0.022956059976020585,-0.004053833554731323,mean=0.00186331
^GSPC,test,return,5,BASELINE_ZERO,264,0.0165412344696111,0.023149264229585017,-0.021025717798635934,
^GSPC,test,return,5,ELASTICNET,264,0.017772716420783197,0.023732212651721523,-0.07309645338888004,alpha=1e-3 l1=0.2
^GSPC,test,return,5,RIDGE,264,0.019044564032133816,0.026382669670959313,-0.3261717637012349,alpha=5.0
^GSPC,test,return,5,HGB,264,0.027406458090000155,0.03332367458447277,-1.115768109383621,lr=0.03 depth=3 l2=1.0 leaf=30
^GSPC,val,return,5,BASELINE_MEAN_TRAIN,502,0.01407300196335789,0.018025664187010827,-0.020972459082516215,mean=0.00186331
^GSPC,val,return,5,BASELINE_ZERO,502,0.014464717109698644,0.01838543435997295,-0.062133885081479434,
^GSPC,val,return,5,RIDGE,502,0.015076098163965287,0.019058746377275743,-0.14135339907672018,alpha=5.0
^GSPC,val,return,5,ELASTICNET,502,0.015457149568504688,0.019180728795132294,-0.15601024881495462,alpha=1e-3 l1=0.2
^GSPC,val,return,5,HGB,502,0.023686325587316072,0.02944811565473602,-1.7248744404715386,lr=0.03 depth=3 l2=1.0 leaf=30
^IXIC,test,return,5,BASELINE_MEAN_TRAIN,264,0.021552311003761405,0.0296375412209641,-0.003562986628363962,mean=0.00232363
^IXIC,test,return,5,BASELINE_ZERO,264,0.022043937597378237,0.029866199777979337,-0.019108033018574222,
^IXIC,test,return,5,ELASTICNET,264,0.02371446140341395,0.03300112660943785,-0.24427915578434645,alpha=1e-3 l1=0.2
^IXIC,test,return,5,RIDGE,264,0.02573239267301691,0.039402693729229485,-0.7738305047781786,alpha=5.0
^IXIC,test,return,5,HGB,264,0.032782852570257905,0.0400247249876465,-0.8302777759311488,lr=0.03 depth=3 l2=1.0 leaf=30
^IXIC,val,return,5,BASELINE_MEAN_TRAIN,502,0.019697454155521668,0.024673496420471508,-0.029954136501769923,mean=0.00232363
^IXIC,val,return,5,BASELINE_ZERO,502,0.020228048416815195,0.0251740972328463,-0.07217161014140538,
^IXIC,val,return,5,ELASTICNET,502,0.02063771097678986,0.02566196490574236,-0.11413112291085814,alpha=1e-3 l1=0.2
^IXIC,val,return,5,RIDGE,502,0.020565670051373896,0.02573914500676462,-0.1208428506713175,alpha=5.0
^IXIC,val,return,5,HGB,502,0.02430183577401431,0.030030662417399615,-0.5257603224075225,lr=0.03 depth=3 l2=1.0 leaf=30
