symbol,mode,fold,split,task,horizon_days,model,n_rows,acc,balacc,f1,auc,posrate,threshold,extra
AAPL,walk,0,val,direction,20,BASELINE_ALL_ZERO,106,0.330188679245283,0.5,0.0,0.5,0.6698113207547169,0.5,
AAPL,walk,0,test,direction,20,BASELINE_ALL_ZERO,106,0.2641509433962264,0.5,0.0,0.5,0.7358490566037735,0.5,
AAPL,walk,0,val,direction,20,BASELINE_CONST_FROM_TRAIN,106,0.6698113207547169,0.5,0.8022598870056498,0.5,0.6698113207547169,0.5,p_train=0.636
AAPL,walk,0,test,direction,20,BASELINE_CONST_FROM_TRAIN,106,0.7358490566037735,0.5,0.8478260869565217,0.5,0.7358490566037735,0.5,p_train=0.636
AAPL,walk,0,val,direction,20,LOGREG,106,0.6509433962264151,0.5655935613682093,0.7581699346405228,0.6595573440643863,0.6698113207547169,0.05,t_f1=0.7582 C=0.5 balanced
AAPL,walk,0,test,direction,20,LOGREG,106,0.6037735849056604,0.5247252747252747,0.72,0.3910256410256411,0.7358490566037735,0.05,t_f1=0.7582 C=0.5 balanced
AAPL,walk,0,val,direction,20,HGB,106,0.6037735849056604,0.6390342052313883,0.6440677966101694,0.6209255533199195,0.6698113207547169,0.6,t_f1=0.6441 lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,0,test,direction,20,HGB,106,0.42452830188679247,0.41437728937728935,0.5271317829457365,0.41666666666666663,0.7358490566037735,0.6,t_f1=0.6441 lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,1,val,direction,20,BASELINE_ALL_ZERO,106,0.0660377358490566,0.5,0.0,0.5,0.9339622641509434,0.5,
AAPL,walk,1,test,direction,20,BASELINE_ALL_ZERO,106,0.3867924528301887,0.5,0.0,0.5,0.6132075471698113,0.5,
AAPL,walk,1,val,direction,20,BASELINE_CONST_FROM_TRAIN,106,0.9339622641509434,0.5,0.9658536585365853,0.5,0.9339622641509434,0.5,p_train=0.635
AAPL,walk,1,test,direction,20,BASELINE_CONST_FROM_TRAIN,106,0.6132075471698113,0.5,0.7602339181286549,0.5,0.6132075471698113,0.5,p_train=0.635
AAPL,walk,1,val,direction,20,LOGREG,106,0.8113207547169812,0.43434343434343436,0.8958333333333334,0.5858585858585859,0.9339622641509434,0.05,t_f1=0.8958 C=0.5 balanced
AAPL,walk,1,test,direction,20,LOGREG,106,0.5188679245283019,0.549155722326454,0.5142857142857142,0.5921200750469043,0.6132075471698113,0.05,t_f1=0.8958 C=0.5 balanced
AAPL,walk,1,val,direction,20,HGB,106,0.5283018867924528,0.41558441558441556,0.6835443037974683,0.3189033189033189,0.9339622641509434,0.05,t_f1=0.6835 lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,1,test,direction,20,HGB,106,0.44339622641509435,0.4786116322701689,0.4158415841584158,0.4664165103189494,0.6132075471698113,0.05,t_f1=0.6835 lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,2,val,direction,20,BASELINE_ALL_ZERO,106,0.2641509433962264,0.5,0.0,0.5,0.7358490566037735,0.5,
AAPL,walk,2,test,direction,20,BASELINE_ALL_ZERO,106,0.5,0.5,0.0,0.5,0.5,0.5,
AAPL,walk,2,val,direction,20,BASELINE_CONST_FROM_TRAIN,106,0.7358490566037735,0.5,0.8478260869565217,0.5,0.7358490566037735,0.5,p_train=0.644
AAPL,walk,2,test,direction,20,BASELINE_CONST_FROM_TRAIN,106,0.5,0.5,0.6666666666666666,0.5,0.5,0.5,p_train=0.644
AAPL,walk,2,val,direction,20,LOGREG,106,0.6415094339622641,0.4473443223443223,0.7790697674418605,0.25045787545787546,0.7358490566037735,0.1,t_f1=0.7791 C=0.5 balanced
AAPL,walk,2,test,direction,20,LOGREG,106,0.5377358490566038,0.5377358490566038,0.6474820143884892,0.44713421146315413,0.5,0.1,t_f1=0.7791 C=0.5 balanced
AAPL,walk,2,val,direction,20,HGB,106,0.5566037735849056,0.4125457875457875,0.7044025157232704,0.3447802197802198,0.7358490566037735,0.05,t_f1=0.7044 lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,2,test,direction,20,HGB,106,0.4811320754716981,0.4811320754716981,0.5736434108527132,0.4595941616233535,0.5,0.05,t_f1=0.7044 lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,3,val,direction,20,BASELINE_ALL_ZERO,106,0.3867924528301887,0.5,0.0,0.5,0.6132075471698113,0.5,
AAPL,walk,3,test,direction,20,BASELINE_ALL_ZERO,106,0.32075471698113206,0.5,0.0,0.5,0.6792452830188679,0.5,
AAPL,walk,3,val,direction,20,BASELINE_CONST_FROM_TRAIN,106,0.6132075471698113,0.5,0.7602339181286549,0.5,0.6132075471698113,0.5,p_train=0.655
AAPL,walk,3,test,direction,20,BASELINE_CONST_FROM_TRAIN,106,0.6792452830188679,0.5,0.8089887640449438,0.5,0.6792452830188679,0.5,p_train=0.655
AAPL,walk,3,val,direction,20,LOGREG,106,0.660377358490566,0.5654784240150094,0.7804878048780488,0.5174484052532833,0.6132075471698113,0.2,t_f1=0.7805 C=0.5 balanced
AAPL,walk,3,test,direction,20,LOGREG,106,0.6415094339622641,0.4877450980392157,0.7764705882352941,0.39665032679738566,0.6792452830188679,0.2,t_f1=0.7805 C=0.5 balanced
AAPL,walk,3,val,direction,20,HGB,106,0.5943396226415094,0.4846153846153846,0.7455621301775148,0.45590994371482174,0.6132075471698113,0.05,t_f1=0.7456 lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,3,test,direction,20,HGB,106,0.6792452830188679,0.5,0.8089887640449438,0.4979575163398693,0.6792452830188679,0.05,t_f1=0.7456 lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,4,val,direction,20,BASELINE_ALL_ZERO,106,0.5,0.5,0.0,0.5,0.5,0.5,
