symbol,PRICE_ONLY,PRICE+TECH,PRICE+TECH+LAG,ALL_NO_MACRO,ALL_NO_REGIME,ALL_FULL
AAPL,0.00841506524397498,0.008818319243219151,0.008794013473713046,0.008253981596398976,0.008419464933929118,0.008304032063497883
GLD,0.004446841093333709,0.004364142760408375,0.004381517089534914,0.004268319273086621,0.004216536162727285,0.004205229428224774
MSFT,0.007689496133073819,0.007306926889532675,0.007300506980508834,0.0071490098819719326,0.0073307795340338995,0.00736061731017651
TSLA,0.017150042262362008,0.016025167577780598,0.01604578854557917,0.01554654657005784,0.015735818604476398,0.015573910435449208
^DJI,0.00439880389978588,0.0037508734454676164,0.0037041734166690103,0.0037358797213686316,0.0038873208582276193,0.0038871260506863764
^GSPC,0.005478095660429367,0.00427261855783706,0.0043379159595736344,0.004217357173861022,0.004345599098776825,0.004338334847744666
^IXIC,0.0075812466869636585,0.005778316158730126,0.0057763158633551024,0.005406860125573339,0.005519731184956054,0.005418328047475305
^RUT,0.0057803610092094495,0.004980816213339271,0.0049647050670836865,0.004804014484773473,0.004857820921427181,0.004912351061122748
