symbol,mode,fold,split,task,horizon_days,model,n_rows,mae,rmse,r2,extra
AAPL,walk,0,val,volatility,20,BASELINE_ZERO,106,0.029700844016714127,0.03469681739511358,-2.7418732215589845,
AAPL,walk,0,test,volatility,20,BASELINE_ZERO,106,0.025142388208319752,0.02581122767451271,-18.548814378627338,
AAPL,walk,0,val,volatility,20,BASELINE_MEAN_TRAIN,106,0.016180032961489153,0.02374631173236455,-0.7526779286510752,mean=0.0141394
AAPL,walk,0,test,volatility,20,BASELINE_MEAN_TRAIN,106,0.011039956579345667,0.012455736930041712,-3.5524161356423605,mean=0.0141394
AAPL,walk,0,val,volatility,20,RIDGE,106,0.013795278529674802,0.01801674006809003,-0.008932737235945787,alpha=5.0
AAPL,walk,0,test,volatility,20,RIDGE,106,0.014176815496556569,0.01568082332968663,-6.215074556648625,alpha=5.0
AAPL,walk,0,val,volatility,20,ELASTICNET,106,0.013167291358866488,0.01758819596150979,0.038493156617828816,alpha=1e-3 l1=0.2
AAPL,walk,0,test,volatility,20,ELASTICNET,106,0.012224387284548614,0.013501373132142924,-4.34883226913702,alpha=1e-3 l1=0.2
AAPL,walk,0,val,volatility,20,HGB,106,0.01278435931449818,0.01803141720035437,-0.010577237945400553,lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,0,test,volatility,20,HGB,106,0.007233225904555904,0.008784151011305244,-1.2641369178854274,lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,1,val,volatility,20,BASELINE_ZERO,106,0.021692900653218737,0.0227697074273742,-9.828846253863656,
AAPL,walk,1,test,volatility,20,BASELINE_ZERO,106,0.0205641612704826,0.020880881759747543,-32.21612099131304,
AAPL,walk,1,val,volatility,20,BASELINE_MEAN_TRAIN,106,0.0076724397103160044,0.009866127385915793,-1.03310928691789,mean=0.0146599
AAPL,walk,1,test,volatility,20,BASELINE_MEAN_TRAIN,106,0.005982935878254979,0.006927234080332291,-2.65570356292829,mean=0.0146599
AAPL,walk,1,val,volatility,20,RIDGE,106,0.015681331774434187,0.017890850464379195,-5.685428657975018,alpha=5.0
AAPL,walk,1,test,volatility,20,RIDGE,106,0.03951176378267286,0.04084283554013376,-126.08170026615701,alpha=5.0
AAPL,walk,1,val,volatility,20,ELASTICNET,106,0.00941053990957248,0.011384654634845564,-1.707116886126478,alpha=1e-3 l1=0.2
