symbol,fold,method,y,p
AAPL,0,no_cal,1,0.9656398731157954
AAPL,0,no_cal,1,0.9420299985953042
AAPL,0,no_cal,1,0.8281019602812519
AAPL,0,no_cal,1,0.9223795056624045
AAPL,0,platt,0,0.6469862994813261
AAPL,0,platt,0,0.6638929337249143
AAPL,0,platt,1,0.671808574992221
AAPL,0,platt,1,0.680158500745942
AAPL,0,platt,1,0.7042192256878052
AAPL,0,platt,1,0.7282600685257584
AAPL,0,platt,1,0.6782543399743604
AAPL,0,platt,1,0.694125693245319
AAPL,0,platt,0,0.7221734360492424
AAPL,0,platt,1,0.7500500490397041
AAPL,0,platt,1,0.6375008247053089
AAPL,0,platt,1,0.7039316451143156
AAPL,0,platt,1,0.7263665398860925
AAPL,0,platt,1,0.7437466728367713
AAPL,0,platt,1,0.6257120480417633
AAPL,0,platt,1,0.7014538517299052
AAPL,0,platt,1,0.6772395642789962
AAPL,0,platt,1,0.6875018928404231
AAPL,0,platt,1,0.6966716555402912
AAPL,0,platt,1,0.6831438259923974
AAPL,0,platt,1,0.7033353212751209
AAPL,0,platt,1,0.7207487789714945
AAPL,0,platt,0,0.6981310191975837
AAPL,0,platt,1,0.6122112626256617
AAPL,0,platt,1,0.6733724992627168
AAPL,0,platt,1,0.6659218733631189
AAPL,0,platt,1,0.6377468511022131
AAPL,0,platt,1,0.670130755488954
AAPL,0,platt,1,0.7266354907932079
AAPL,0,platt,1,0.6718834956977935
AAPL,0,platt,1,0.622333327532214
AAPL,0,platt,0,0.6724192573165821
AAPL,0,platt,1,0.7218344266690386
AAPL,0,platt,0,0.7426211280528395
AAPL,0,platt,1,0.7099998401689006
AAPL,0,platt,1,0.6707898086961307
AAPL,0,platt,1,0.7165996427907171
AAPL,0,platt,1,0.7529387970827666
AAPL,0,platt,1,0.700186774616305
AAPL,0,platt,1,0.7587936857300459
AAPL,0,platt,1,0.7086375226332106
AAPL,0,platt,1,0.7174205847322769
AAPL,0,platt,1,0.6801577250384945
AAPL,0,platt,1,0.6695543423291818
AAPL,0,platt,1,0.6936164780643188
AAPL,0,platt,0,0.666943759291432
AAPL,0,platt,0,0.7179357894615889
AAPL,0,platt,0,0.6760046391334038
AAPL,0,platt,0,0.6801647692432976
AAPL,0,platt,0,0.7167352573014569
AAPL,0,platt,0,0.6831753789940215
AAPL,0,platt,0,0.6895442370148619
AAPL,0,platt,1,0.6666451489327074
AAPL,0,platt,1,0.7000136321147596
AAPL,0,platt,1,0.7040779195141883
AAPL,0,platt,1,0.6962142189760568
AAPL,0,platt,1,0.6693622977508483
AAPL,0,platt,1,0.760568658803214
AAPL,0,platt,1,0.6950804370063347
