symbol,mode,fold,split,task,horizon_days,model,n_rows,acc,balacc,f1,auc,posrate,threshold,extra
AAPL,walk,0,val,direction,1,BASELINE_ALL_ZERO,125,0.456,0.5,0.0,0.5,0.544,0.5,
AAPL,walk,0,test,direction,1,BASELINE_ALL_ZERO,125,0.44,0.5,0.0,0.5,0.56,0.5,
AAPL,walk,0,val,direction,1,BASELINE_CONST_FROM_TRAIN,125,0.544,0.5,0.7046632124352331,0.5,0.544,0.5,p_train=0.525
AAPL,walk,0,test,direction,1,BASELINE_CONST_FROM_TRAIN,125,0.56,0.5,0.717948717948718,0.5,0.56,0.5,p_train=0.525
AAPL,walk,0,val,direction,1,LOGREG,125,0.632,0.6078431372549019,0.7228915662650602,0.6148090815273478,0.544,0.25,t_f1=0.7229 C=0.5 balanced
AAPL,walk,0,test,direction,1,LOGREG,125,0.52,0.5402597402597402,0.4642857142857143,0.558961038961039,0.56,0.25,t_f1=0.7229 C=0.5 balanced
AAPL,walk,0,val,direction,1,HGB,125,0.56,0.5175438596491229,0.7120418848167539,0.5753353973168215,0.544,0.05,t_f1=0.7120 lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,0,test,direction,1,HGB,125,0.536,0.4805194805194805,0.6947368421052632,0.47194805194805195,0.56,0.05,t_f1=0.7120 lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,1,val,direction,1,BASELINE_ALL_ZERO,125,0.4,0.5,0.0,0.5,0.6,0.5,
AAPL,walk,1,test,direction,1,BASELINE_ALL_ZERO,125,0.52,0.5,0.0,0.5,0.48,0.5,
AAPL,walk,1,val,direction,1,BASELINE_CONST_FROM_TRAIN,125,0.6,0.5,0.75,0.5,0.6,0.5,p_train=0.523
AAPL,walk,1,test,direction,1,BASELINE_CONST_FROM_TRAIN,125,0.48,0.5,0.6486486486486487,0.5,0.48,0.5,p_train=0.523
AAPL,walk,1,val,direction,1,LOGREG,125,0.624,0.5466666666666666,0.7486631016042781,0.6253333333333333,0.6,0.1,t_f1=0.7487 C=0.5 balanced
AAPL,walk,1,test,direction,1,LOGREG,125,0.496,0.5121794871794871,0.6358381502890174,0.5202564102564102,0.48,0.1,t_f1=0.7487 C=0.5 balanced
AAPL,walk,1,val,direction,1,HGB,125,0.576,0.49666666666666665,0.7165775401069518,0.5125333333333333,0.6,0.05,t_f1=0.7166 lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,1,test,direction,1,HGB,125,0.472,0.49102564102564106,0.6373626373626373,0.4971794871794871,0.48,0.05,t_f1=0.7166 lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,2,val,direction,1,BASELINE_ALL_ZERO,125,0.44,0.5,0.0,0.5,0.56,0.5,
AAPL,walk,2,test,direction,1,BASELINE_ALL_ZERO,125,0.512,0.5,0.0,0.5,0.488,0.5,
AAPL,walk,2,val,direction,1,BASELINE_CONST_FROM_TRAIN,125,0.56,0.5,0.717948717948718,0.5,0.56,0.5,p_train=0.528
AAPL,walk,2,test,direction,1,BASELINE_CONST_FROM_TRAIN,125,0.488,0.5,0.6559139784946236,0.5,0.488,0.5,p_train=0.528
AAPL,walk,2,val,direction,1,LOGREG,125,0.552,0.4928571428571429,0.711340206185567,0.5135064935064935,0.56,0.05,t_f1=0.7113 C=0.5 balanced
AAPL,walk,2,test,direction,1,LOGREG,125,0.488,0.5,0.6559139784946236,0.5302254098360656,0.488,0.05,t_f1=0.7113 C=0.5 balanced
AAPL,walk,2,val,direction,1,HGB,125,0.56,0.5077922077922078,0.7058823529411765,0.5345454545454544,0.56,0.05,t_f1=0.7059 lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,2,test,direction,1,HGB,125,0.488,0.5,0.6559139784946236,0.4943647540983606,0.488,0.05,t_f1=0.7059 lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,3,val,direction,1,BASELINE_ALL_ZERO,125,0.52,0.5,0.0,0.5,0.48,0.5,
AAPL,walk,3,test,direction,1,BASELINE_ALL_ZERO,125,0.448,0.5,0.0,0.5,0.552,0.5,
AAPL,walk,3,val,direction,1,BASELINE_CONST_FROM_TRAIN,125,0.48,0.5,0.6486486486486487,0.5,0.48,0.5,p_train=0.530
AAPL,walk,3,test,direction,1,BASELINE_CONST_FROM_TRAIN,125,0.552,0.5,0.711340206185567,0.5,0.552,0.5,p_train=0.530
AAPL,walk,3,val,direction,1,LOGREG,125,0.48,0.5,0.6486486486486487,0.5076923076923077,0.48,0.05,t_f1=0.6486 C=0.5 balanced
AAPL,walk,3,test,direction,1,LOGREG,125,0.552,0.5,0.711340206185567,0.5090579710144927,0.552,0.05,t_f1=0.6486 C=0.5 balanced
AAPL,walk,3,val,direction,1,HGB,125,0.48,0.5,0.6486486486486487,0.48384615384615376,0.48,0.05,t_f1=0.6486 lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,3,test,direction,1,HGB,125,0.552,0.5,0.711340206185567,0.5372670807453417,0.552,0.05,t_f1=0.6486 lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,4,val,direction,1,BASELINE_ALL_ZERO,125,0.512,0.5,0.0,0.5,0.488,0.5,
AAPL,walk,4,test,direction,1,BASELINE_ALL_ZERO,125,0.424,0.5,0.0,0.5,0.576,0.5,
AAPL,walk,4,val,direction,1,BASELINE_CONST_FROM_TRAIN,125,0.488,0.5,0.6559139784946236,0.5,0.488,0.5,p_train=0.531
AAPL,walk,4,test,direction,1,BASELINE_CONST_FROM_TRAIN,125,0.576,0.5,0.7309644670050761,0.5,0.576,0.5,p_train=0.531
AAPL,walk,4,val,direction,1,LOGREG,125,0.512,0.5230532786885246,0.6629834254143646,0.5025614754098361,0.488,0.39999999999999997,t_f1=0.6630 C=0.5 balanced
AAPL,walk,4,test,direction,1,LOGREG,125,0.576,0.5,0.7309644670050761,0.5117924528301887,0.576,0.39999999999999997,t_f1=0.6630 C=0.5 balanced
AAPL,walk,4,val,direction,1,HGB,125,0.488,0.5,0.6559139784946236,0.5066598360655737,0.488,0.05,t_f1=0.6559 lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,4,test,direction,1,HGB,125,0.568,0.4930555555555556,0.7244897959183674,0.4913522012578616,0.576,0.05,t_f1=0.6559 lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,5,val,direction,1,BASELINE_ALL_ZERO,125,0.448,0.5,0.0,0.5,0.552,0.5,
AAPL,walk,5,test,direction,1,BASELINE_ALL_ZERO,125,0.488,0.5,0.0,0.5,0.512,0.5,
AAPL,walk,5,val,direction,1,BASELINE_CONST_FROM_TRAIN,125,0.552,0.5,0.711340206185567,0.5,0.552,0.5,p_train=0.526
AAPL,walk,5,test,direction,1,BASELINE_CONST_FROM_TRAIN,125,0.512,0.5,0.6772486772486772,0.5,0.512,0.5,p_train=0.526
AAPL,walk,5,val,direction,1,LOGREG,125,0.56,0.5089285714285714,0.7150259067357513,0.5054347826086957,0.552,0.35,t_f1=0.7150 C=0.5 balanced
AAPL,walk,5,test,direction,1,LOGREG,125,0.464,0.45543032786885246,0.6081871345029239,0.4807889344262295,0.512,0.35,t_f1=0.7150 C=0.5 balanced
AAPL,walk,5,val,direction,1,HGB,125,0.552,0.5016821946169773,0.7083333333333334,0.5020703933747412,0.552,0.05,t_f1=0.7083 lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,5,test,direction,1,HGB,125,0.512,0.5003842213114754,0.6737967914438503,0.48796106557377045,0.512,0.05,t_f1=0.7083 lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,6,val,direction,1,BASELINE_ALL_ZERO,125,0.424,0.5,0.0,0.5,0.576,0.5,
AAPL,walk,6,test,direction,1,BASELINE_ALL_ZERO,125,0.528,0.5,0.0,0.5,0.472,0.5,
AAPL,walk,6,val,direction,1,BASELINE_CONST_FROM_TRAIN,125,0.576,0.5,0.7309644670050761,0.5,0.576,0.5,p_train=0.527
AAPL,walk,6,test,direction,1,BASELINE_CONST_FROM_TRAIN,125,0.472,0.5,0.6413043478260869,0.5,0.472,0.5,p_train=0.527
AAPL,walk,6,val,direction,1,LOGREG,125,0.576,0.5,0.7309644670050761,0.5112683438155137,0.576,0.05,t_f1=0.7310 C=0.5 balanced
AAPL,walk,6,test,direction,1,LOGREG,125,0.472,0.5,0.6413043478260869,0.43682588597842836,0.472,0.05,t_f1=0.7310 C=0.5 balanced
AAPL,walk,6,val,direction,1,HGB,125,0.544,0.4722222222222222,0.7046632124352331,0.5028825995807128,0.576,0.05,t_f1=0.7047 lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,6,test,direction,1,HGB,125,0.48,0.5012840267077555,0.6153846153846154,0.5249101181304572,0.472,0.05,t_f1=0.7047 lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,walk,7,val,direction,1,BASELINE_ALL_ZERO,125,0.488,0.5,0.0,0.5,0.512,0.5,
AAPL,walk,7,test,direction,1,BASELINE_ALL_ZERO,125,0.512,0.5,0.0,0.5,0.488,0.5,
