symbol,date,p_up,pos,ret_next,strat_ret
AAPL,2022-10-18,0.7229805803274687,1,0.0007652216372282528,0.0007652216372282528
AAPL,2022-10-19,0.643300104310011,1,-0.003267073673773546,-0.003267073673773546
AAPL,2022-10-20,0.6171665484112441,1,0.027059103837980825,0.027059103837980825
AAPL,2022-10-21,0.5328119614725317,0,0.014802693097965003,0.0
AAPL,2022-10-24,0.6508282316847254,1,0.019337567404898115,0.019337567404898115
AAPL,2022-10-25,0.6739693876102747,1,-0.019627086164182295,-0.019627086164182295
AAPL,2022-10-26,0.6176469174862627,1,-0.03046536903791064,-0.03046536903791064
AAPL,2022-10-27,0.7466801958056388,1,0.07555250145606562,0.07555250145606562
AAPL,2022-10-28,0.6280190008944349,1,-0.015410357458724877,-0.015410357458724877
AAPL,2022-10-31,0.4806140434814965,0,-0.0175427318745901,-0.0
AAPL,2022-11-01,0.5580853360053128,1,-0.03730498071609045,-0.03730498071609045
AAPL,2022-11-02,0.3992144241650897,0,-0.04240497792352105,-0.0
AAPL,2022-11-03,0.3356440292545073,0,-0.003600230288167805,-0.0
AAPL,2022-11-04,0.3390055306157297,0,0.003902249364639898,0.0
AAPL,2022-11-07,0.3263457320223832,0,0.004175078021159573,0.0
AAPL,2022-11-08,0.3362945540565969,0,-0.03318999915994625,-0.0
AAPL,2022-11-09,0.2983793558822132,0,0.08897457132383879,0.0
AAPL,2022-11-10,0.3622807329965456,0,0.019268754171310798,0.0
AAPL,2022-11-11,0.4790832667785158,0,-0.009485625904429806,-0.0
AAPL,2022-11-14,0.3036361991972417,0,0.011869399253607638,0.0
AAPL,2022-11-15,0.38888769376049453,0,-0.00833111207633952,-0.0
AAPL,2022-11-16,0.3823445931532567,0,0.01297135574741759,0.0
AAPL,2022-11-17,0.39341583178727213,0,0.003781794458686649,0.0
AAPL,2022-11-18,0.37569488290222,0,-0.02168020969565021,-0.0
AAPL,2022-11-21,0.5049360786795308,0,0.014661159715434469,0.0
AAPL,2022-11-22,0.4047544603114951,0,0.0059263196953200925,0.0
AAPL,2022-11-23,0.2491710155648435,0,-0.01959360938875554,-0.0
AAPL,2022-11-25,0.5302938294666387,0,-0.02626425881856731,-0.0
AAPL,2022-11-28,0.32031301880847013,0,-0.021148266717113118,-0.0
AAPL,2022-11-29,0.4781657160370414,0,0.04859389884061516,0.0
AAPL,2022-11-30,0.5200108743758813,0,0.0018915002472865705,0.0
AAPL,2022-12-01,0.5210679578884525,0,-0.0033713168918532155,-0.0
AAPL,2022-12-02,0.3461231533677497,0,-0.00798317228381984,-0.0
AAPL,2022-12-05,0.3799252305287518,0,-0.025369986338581674,-0.0
AAPL,2022-12-06,0.4258253036779451,0,-0.013784907775671984,-0.0
AAPL,2022-12-07,0.4756410729145911,0,0.012132761639400691,0.0
AAPL,2022-12-08,0.3143746303254271,0,-0.0034349124103753015,-0.0
AAPL,2022-12-09,0.39522407011783456,0,0.01638999557563814,0.0
AAPL,2022-12-12,0.5098896460568765,0,0.006782446468835079,0.0
AAPL,2022-12-13,0.3701869975797989,0,-0.015535811424151502,-0.0
AAPL,2022-12-14,0.46256280337239075,0,-0.04685431463789913,-0.0
AAPL,2022-12-15,0.620249115362404,1,-0.014578794821714758,-0.014578794821714758
AAPL,2022-12-16,0.6573655835323349,1,-0.01590959391154889,-0.01590959391154889
AAPL,2022-12-19,0.6639126598038176,1,-0.0005287608069164396,-0.0005287608069164396
AAPL,2022-12-20,0.5650152128191929,1,0.023809477126406797,0.023809477126406797
AAPL,2022-12-21,0.44227823497504726,0,-0.02377261936693542,-0.0
AAPL,2022-12-22,0.31357091618328625,0,-0.0027981178941416385,-0.0
AAPL,2022-12-23,0.43794840545581315,0,-0.01387836965405731,-0.0
AAPL,2022-12-27,0.5040676544789776,0,-0.03068521034551308,-0.0
AAPL,2022-12-28,0.7381056339848466,1,0.02832433885189234,0.02832433885189234
AAPL,2022-12-29,0.46004120785153646,0,0.00246888406699175,0.0
AAPL,2022-12-30,0.44117157127521656,0,-0.03740470449409117,-0.0
AAPL,2023-01-03,0.7298419231658191,1,0.010314231379827232,0.010314231379827232
AAPL,2023-01-04,0.656066943970272,1,-0.010604653061194957,-0.010604653061194957
