symbol,fold,method,ece,brier,log_loss,auc,n_test
AAPL,0,no_cal,0.21025925340767448,0.2764412083210573,0.8690871030878435,0.4550294200056038,126
AAPL,0,platt,0.0465327732148292,0.2258053357500824,0.6450681005570896,0.5449705799943962,126
AAPL,0,isotonic,0.01620370370370361,0.22498070987654317,0.6422715171521134,0.5116279069767442,126
AAPL,1,no_cal,0.23820052999467045,0.2929687203318712,0.8417978129113975,0.48919753086419754,126
AAPL,1,platt,0.16603220993216744,0.275495516663357,0.7592142107528577,0.5108024691358025,126
AAPL,1,isotonic,0.14406779661016964,0.2635429063897895,0.7229284089301583,0.45833333333333326,126
AAPL,2,no_cal,0.13303719236846295,0.2751295872763014,0.7619361684975215,0.5564516129032258,126
AAPL,2,platt,0.15296700694551746,0.27372367943742043,0.7433937000324436,0.4435483870967742,126
AAPL,2,isotonic,0.14362207988503828,0.26805138978558257,0.7312421918175379,0.5287298387096774,126
AAPL,3,no_cal,0.16607604634444342,0.28501979964277824,0.7949455871556963,0.5046296296296298,126
AAPL,3,platt,0.007895226523378596,0.2449942836647429,0.6831076761305537,0.49537037037037035,126
AAPL,3,isotonic,0.07899862498384988,0.253558715756974,0.7015002494146505,0.5276491769547325,126
AAPL,4,no_cal,0.4486221136366811,0.45220267642004436,1.2817694138571583,0.4494256094144018,126
AAPL,4,platt,0.1463243380530803,0.24739958445864582,0.6879432709549044,0.4494256094144018,126
AAPL,4,isotonic,0.1527648096275548,0.2511918831923958,0.6960834484732045,0.4700196133370692,126
AAPL,5,no_cal,0.19034746576710476,0.2959396264816781,0.8086936410846,0.48679738562091507,126
AAPL,5,platt,0.02946711907145605,0.24202402713490798,0.6771234759129029,0.48679738562091507,126
AAPL,5,isotonic,0.06504480133048299,0.2443341610399281,0.6817728919812754,0.525359477124183,126
AAPL,6,no_cal,0.30010279194397416,0.3447625672721307,1.0767495442591148,0.39385403329065305,126
AAPL,6,platt,0.22127510459489574,0.29675276255011057,0.7911758872257326,0.39385403329065305,126
AAPL,6,isotonic,0.21757166500063407,0.3092156736193929,0.8201384661042449,0.40653008962868115,126
AAPL,7,no_cal,0.23580863646058742,0.32722144819630417,0.890168042677956,0.4186693650392107,126
AAPL,7,platt,0.12342070960019337,0.2659772633611867,0.725684533843452,0.4186693650392107,126
AAPL,7,isotonic,0.1748343594148526,0.276611939018003,0.7482580736778689,0.41158613711105485,126
AAPL,8,no_cal,0.19407041960344168,0.2632079536781239,0.7388443859635703,0.6759889140841522,126
AAPL,8,platt,0.07326633028150104,0.25838672480876124,0.7101761741801785,0.3240110859158478,126
AAPL,8,isotonic,0.10261193444547373,0.27188295322996736,1.4982907739184608,0.6902242378432855,126
AAPL,9,no_cal,0.22354606756866133,0.3027505316404205,0.8278515052833626,0.48004068141367917,126
AAPL,9,platt,0.03745917709602667,0.24861585028531513,0.6903358637476292,0.5199593185863208,126
AAPL,9,isotonic,0.04432801718099064,0.24966621239264614,0.6950268256614217,0.5268243071446732,126
AAPL,10,no_cal,0.24372448074863323,0.3002350857812389,0.8131875883911159,0.5510368973875571,126
AAPL,10,platt,0.1352429788547299,0.2512917340733882,0.6969172913924737,0.5510368973875571,126
AAPL,10,isotonic,0.1416709872755294,0.2525673591564097,0.9262204743049868,0.5546727713439267,126
AAPL,11,no_cal,0.1559342552761832,0.2330752852263675,0.674008394469015,0.6106169296987087,126
AAPL,11,platt,0.29249627928587313,0.29946463512584465,0.7970157787508864,0.6106169296987087,126
AAPL,11,isotonic,0.3636911879186286,0.3529604409192216,1.3843774875361976,0.5954088952654233,126
AAPL,12,no_cal,0.5372008356605845,0.5326265477029847,2.063307801031555,0.5653292181069959,126
AAPL,12,platt,0.004591833984274765,0.24382800896093546,0.6807340203257994,0.5653292181069959,126
AAPL,12,isotonic,0.1875300557256286,0.27704141859060216,0.7482975348135806,0.5516975308641975,126
AAPL,13,no_cal,0.3817330170742737,0.40909372765708807,1.2642732105671868,0.4324596774193548,126
AAPL,13,platt,0.11838595335965411,0.2712147810732899,0.7381181528980655,0.4324596774193548,126
AAPL,13,isotonic,0.15352871977758825,0.2727673184365476,0.7414791841144964,0.44254032258064513,126
AAPL,14,no_cal,0.280370009026816,0.3380406382311492,0.9740329483657181,0.482219419924338,126
AAPL,14,platt,0.10154715282833385,0.2530608942272593,0.699295955608433,0.5177805800756621,126
AAPL,14,isotonic,0.0890719909979364,0.2771015685627705,1.0792224661585712,0.43795712484237076,126
AAPL,15,no_cal,0.36428128681859345,0.3952651283288559,1.1415082870482225,0.42321428571428577,126
AAPL,15,platt,0.08746903939445426,0.2559610888405723,0.7051073143055336,0.42321428571428577,126
AAPL,15,isotonic,0.22506652211283057,0.3267591018015223,1.84017196663812,0.464158163265306,126
AAPL,16,no_cal,0.3654277753755926,0.40735859548254805,1.1825546154581705,0.3924116424116424,126
AAPL,16,platt,0.12911858133246726,0.2685652530005891,0.7308589614864813,0.3924116424116424,126
AAPL,16,isotonic,0.19033977967271226,0.28117864715559576,0.7569224914901717,0.45400207900207906,126
AAPL,17,no_cal,0.4585975944039374,0.46359059095477906,1.434936575823851,0.4364711934156379,126
AAPL,17,platt,0.0009368001105231061,0.24394511728684884,0.680957401543423,0.5635288065843621,126
AAPL,17,isotonic,0.03906431132095367,0.24754979286806378,0.688247871151807,0.4759516460905349,126
AAPL,18,no_cal,0.4311952064274998,0.42772364833469245,1.3249352884971457,0.4274905422446406,126
AAPL,18,platt,0.06787131980316213,0.2571318668477247,0.7077905879888969,0.4274905422446406,126
AAPL,18,isotonic,0.03203837845504541,0.2629549477610079,0.7252457236002919,0.45397225725094575,126
AAPL,19,no_cal,0.2585344646396362,0.306829208076006,0.8703825022359463,0.5056689342403627,126
AAPL,19,platt,0.08520171434242357,0.2540100843417516,0.7011609612593017,0.4943310657596372,126
AAPL,19,isotonic,0.08108357677032761,0.26450772765492203,0.9440606840232237,0.4625850340136054,126
AAPL,20,no_cal,0.4170750835620157,0.4144624303172037,1.1515481519125044,0.39590627524912475,126
AAPL,20,platt,0.11123205323377994,0.2463219722559058,0.6857888676001963,0.39590627524912475,126
AAPL,20,isotonic,0.16198497187134933,0.262304135326704,0.7313266450912991,0.4917856180985726,126
AAPL,21,no_cal,0.33485961737754366,0.3750569407904484,1.0705847714250771,0.40162271805273836,126
AAPL,21,platt,0.0480809288050755,0.2514527770931828,0.6960537421639726,0.40162271805273836,126
